# time [indices] average
# -1.0 58644.0 0.0 0.08 0.01 0.02 0.16 0.03 0.36 0.08 0.11 0.43 0.16 0.07 0.14 4188.975
1.0 0.14 -0.01 0.04 -0.03 0.01 -0.02 -0.03 0.03 -0.04 0.0 0.12 0.01 0.05 0.01 0.02
2.0 0.01 0.0 0.09 0.02 0.06 0.02 0.0 0.13 0.02 0.1 0.19 0.04 0.1 0.05 0.059285714285714296
3.0 0.01 0.01 0.08 0.02 0.0 0.08 0.02 0.29 0.04 0.13 0.28 0.11 0.13 0.09 0.09214285714285717
4.0 0.12 -0.0 0.11 0.01 0.02 0.08 -0.01 0.23 0.02 0.09 0.25 0.11 0.11 0.14 0.09142857142857144
5.0 0.15 0.01 0.14 0.05 0.03 0.06 0.02 0.34 0.08 0.11 0.37 0.09 0.12 0.07 0.11714285714285713
6.0 0.06 0.01 0.09 0.01 0.03 0.09 0.01 0.21 0.02 0.04 0.49 0.05 0.07 0.06 0.08857142857142859
7.0 0.05 -0.01 0.06 0.0 0.01 -0.03 -0.1 0.43 0.02 0.13 0.24 0.07 0.1 0.04 0.07214285714285713
8.0 0.06 -0.0 0.05 -0.02 0.0 0.02 -0.03 0.13 -0.06 0.01 0.38 0.14 0.13 0.03 0.060000000000000005
9.0 0.0 0.0 0.19 0.01 0.08 0.03 -0.04 0.25 0.02 0.1 0.3 0.0 0.13 0.03 0.07857142857142856
10.0 0.03 0.01 0.11 0.02 0.03 0.06 0.05 0.42 0.09 0.11 0.21 0.03 0.14 0.13 0.10285714285714286
11.0 -0.07 0.01 0.16 0.02 0.03 0.12 -0.03 0.54 0.06 0.2 0.28 0.15 0.11 0.12 0.12142857142857144
12.0 0.13 0.02 0.11 0.01 0.02 0.07 -0.01 0.21 -0.02 0.07 0.25 0.1 0.09 0.02 0.07642857142857143
13.0 -0.01 0.02 0.12 0.02 0.02 0.11 0.0 0.24 0.12 0.07 0.25 0.06 0.05 0.05 0.08
14.0 0.03 0.01 0.14 0.08 0.04 0.05 -0.02 0.67 0.05 0.08 0.28 0.11 0.1 0.13 0.12500000000000003
15.0 0.13 0.01 0.04 0.01 0.02 0.03 -0.0 0.11 0.01 0.02 0.26 0.03 0.09 0.02 0.055714285714285716
16.0 -0.0 0.01 0.1 0.02 0.02 0.06 0.05 0.3 0.13 0.08 0.28 0.12 0.11 0.08 0.09714285714285716
17.0 0.09 -0.0 0.06 0.0 0.01 0.03 0.01 0.17 0.06 0.14 0.19 0.09 0.1 0.06 0.07214285714285715
18.0 0.1 0.01 0.1 0.04 0.02 0.06 0.01 0.17 0.07 0.06 0.2 0.19 0.07 0.08 0.0842857142857143
19.0 0.09 0.0 0.04 0.0 0.01 0.04 0.01 0.15 0.05 0.14 0.19 0.12 0.1 0.12 0.07571428571428572
20.0 0.13 0.0 0.12 0.01 0.02 0.03 -0.02 0.16 0.05 0.03 0.21 0.15 0.14 0.03 0.07571428571428572
21.0 0.01 0.0 0.06 0.02 0.0 0.03 0.0 0.19 0.07 0.1 0.21 0.18 0.15 0.07 0.07785714285714285
22.0 0.11 0.01 0.13 0.02 0.04 0.06 -0.03 0.37 0.06 0.12 0.23 0.04 0.08 0.1 0.09571428571428574
23.0 0.09 0.0 0.07 -0.03 0.02 0.08 -0.01 0.21 0.06 0.06 0.2 -0.01 0.07 0.07 0.06285714285714286
24.0 0.13 -0.03 0.01 -0.03 0.0 -0.03 -0.06 0.06 -0.06 0.14 0.2 0.03 0.06 0.06 0.034285714285714294
25.0 0.08 -0.01 0.02 -0.03 0.01 0.01 -0.01 0.14 -0.0 0.02 0.08 -0.01 0.12 0.02 0.03142857142857143
