# time [indices] average
# -1.0 58266.0 0.02 0.01 -0.01 0.05 -0.01 -0.03 0.27 0.06 0.1 0.33 -0.08 -0.0 0.31 -0.01 -0.03 0.28 -0.18 -0.17 -0.19 -0.01 2774.605238095238
1.0 -0.0 0.04 0.04 0.0 0.05 0.01 -0.01 -0.01 -0.02 -0.09 -0.15 -0.18 -0.29 -0.12 -0.17 -0.17 -0.06 -0.21 -0.28 -0.24 -0.0 -0.08857142857142856
2.0 -0.01 0.02 0.02 0.0 0.1 0.0 0.02 0.09 -0.01 -0.01 0.44 0.02 -0.03 0.35 -0.12 -0.03 0.34 -0.1 -0.09 -0.16 0.01 0.04047619047619048
3.0 0.01 -0.0 0.0 -0.01 -0.0 0.0 -0.01 -0.02 -0.04 -0.01 -0.02 -0.02 -0.02 -0.08 -0.1 -0.1 -0.06 -0.05 -0.02 -0.13 0.0 -0.032380952380952385
4.0 0.0 0.02 -0.01 -0.02 -0.02 -0.01 -0.02 0.0 -0.01 0.01 0.03 -0.01 -0.02 0.01 0.0 0.01 0.01 -0.04 -0.04 0.0 -0.0 -0.005238095238095239
5.0 -0.03 0.05 0.04 0.0 0.03 0.01 -0.0 -0.01 -0.02 -0.04 -0.02 -0.07 -0.09 -0.15 -0.2 -0.2 -0.01 -0.18 -0.25 -0.34 0.03 -0.06904761904761905
6.0 -0.01 0.07 0.04 0.01 0.01 -0.01 -0.02 0.01 -0.01 -0.0 0.01 -0.01 -0.04 0.0 -0.02 -0.0 -0.02 -0.03 -0.06 -0.07 0.01 -0.006666666666666667
7.0 0.0 0.09 0.02 -0.0 0.11 0.01 0.02 0.05 -0.05 -0.01 0.27 -0.04 -0.01 0.09 -0.16 -0.14 0.07 -0.24 -0.29 -0.22 -0.01 -0.02095238095238095
8.0 -0.01 0.07 0.12 0.05 0.18 0.05 0.04 0.05 -0.02 0.01 0.22 0.03 0.03 -0.1 -0.33 -0.15 -0.03 -0.02 -0.24 -0.33 0.0 -0.018095238095238098
9.0 0.01 0.06 0.07 0.01 0.12 0.01 0.03 0.07 -0.01 -0.02 0.18 0.02 0.01 0.15 -0.06 -0.05 -0.13 -0.08 -0.22 -0.28 0.01 -0.004761904761904761
10.0 0.0 0.05 0.05 0.02 0.08 0.01 0.01 0.04 -0.03 -0.02 0.06 -0.04 -0.12 0.14 -0.09 -0.04 0.23 -0.03 -0.12 -0.03 0.0 0.008095238095238098
11.0 0.0 0.01 0.0 -0.0 0.02 -0.06 -0.1 0.05 0.01 -0.05 0.03 -0.02 -0.0 0.03 -0.01 -0.01 0.01 -0.04 -0.02 -0.02 -0.0 -0.008095238095238095
12.0 -0.01 0.06 0.08 0.0 0.06 0.02 0.01 0.04 -0.02 -0.02 0.03 -0.08 -0.02 0.04 0.01 -0.04 0.3 -0.01 -0.24 -0.24 0.0 -0.0014285714285714299
13.0 -0.0 0.02 0.01 -0.0 -0.01 -0.01 -0.04 0.02 -0.12 -0.0 -0.11 -0.01 -0.16 -0.21 -0.18 -0.14 -0.17 -0.41 -0.18 -0.29 -0.0 -0.09476190476190476
14.0 -0.0 0.04 0.03 0.01 0.09 0.03 0.02 0.03 -0.04 -0.03 0.04 -0.01 -0.1 -0.12 -0.28 -0.13 0.0 -0.12 -0.04 -0.14 0.01 -0.03380952380952381
15.0 0.01 0.05 0.02 0.0 0.04 0.01 -0.03 0.06 -0.03 0.01 0.07 -0.0 -0.07 0.25 -0.22 -0.11 0.29 -0.04 -0.18 -0.18 0.01 -0.0019047619047619041
16.0 0.0 0.04 0.02 0.02 0.03 0.03 -0.0 0.01 -0.0 -0.01 -0.0 -0.03 -0.07 0.03 -0.05 0.0 -0.03 -0.01 -0.05 -0.07 0.01 -0.006190476190476191
17.0 0.01 0.01 0.02 0.01 0.06 -0.04 0.02 0.09 0.02 -0.02 0.08 -0.07 -0.02 0.04 -0.1 -0.04 -0.01 0.01 -0.09 -0.08 0.0 -0.004761904761904763
18.0 0.01 0.04 0.09 0.02 0.14 0.06 0.03 0.29 -0.01 0.09 0.4 0.11 0.05 0.36 -0.06 -0.03 0.02 -0.15 -0.15 -0.12 0.01 0.05714285714285714
19.0 0.0 0.01 0.01 -0.0 0.09 -0.01 0.0 0.07 0.02 -0.01 0.1 -0.07 0.0 0.09 -0.01 0.02 -0.07 -0.19 -0.17 -0.17 0.0 -0.013809523809523811
20.0 0.0 0.0 0.0 0.0 -0.01 0.0 -0.01 -0.0 -0.0 -0.01 -0.01 -0.04 -0.02 -0.03 -0.08 -0.0 0.11 -0.05 -0.09 -0.15 0.0 -0.018571428571428572
21.0 -0.0 0.03 0.02 -0.0 0.04 -0.03 0.01 0.04 -0.0 -0.0 -0.02 -0.05 -0.01 -0.1 -0.11 -0.1 -0.1 -0.2 -0.22 -0.19 0.01 -0.04666666666666667
22.0 0.01 -0.01 -0.01 -0.0 0.02 -0.0 0.01 0.01 -0.02 -0.01 0.05 -0.01 -0.01 0.06 -0.05 -0.13 0.12 -0.02 -0.1 0.01 0.0 -0.003809523809523811
23.0 -0.0 0.0 0.03 0.01 0.13 -0.05 0.03 0.18 0.01 0.0 0.15 -0.04 -0.02 -0.05 -0.25 -0.07 -0.08 -0.31 -0.22 -0.15 0.01 -0.03285714285714286
24.0 0.01 0.01 0.02 0.01 0.06 0.01 0.0 0.03 -0.01 0.0 0.07 -0.04 -0.05 -0.08 -0.17 -0.01 0.03 -0.08 -0.08 -0.09 -0.0 -0.017142857142857144
25.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 0.0 -0.01 -0.04 -0.02 0.01 -0.02 -0.06 0.01 -0.0 -0.01 -0.02 0.0 -0.007619047619047619
26.0 -0.0 0.01 0.0 0.0 0.02 -0.0 -0.02 0.05 0.0 0.02 0.04 -0.02 -0.05 0.04 -0.01 -0.11 0.01 -0.05 -0.03 -0.04 -0.0 -0.006666666666666667
27.0 0.0 0.01 0.03 -0.01 0.07 0.03 0.02 0.07 -0.0 0.0 0.16 0.04 -0.0 0.17 -0.04 -0.11 0.07 -0.0 -0.01 -0.04 -0.01 0.02142857142857143
28.0 -0.0 0.0 0.0 0.0 -0.0 -0.01 -0.01 0.0 0.01 -0.02 0.0 -0.01 0.0 0.01 -0.0 -0.01 0.0 -0.01 -0.0 -0.0 0.0 -0.002380952380952381
29.0 0.0 0.01 0.01 0.0 0.01 -0.01 -0.0 0.02 0.0 0.01 0.03 -0.03 0.0 0.06 -0.01 -0.02 0.13 0.04 0.03 0.02 0.0 0.014285714285714287
30.0 0.0 0.02 0.02 0.0 0.01 0.0 -0.01 0.02 -0.01 -0.01 0.01 -0.01 -0.01 -0.06 -0.0 -0.13 -0.03 -0.14 -0.06 -0.22 0.0 -0.029047619047619048
31.0 0.01 0.04 0.01 0.0 0.01 0.01 -0.01 0.02 -0.0 0.01 0.01 -0.01 -0.01 0.04 -0.0 0.0 0.06 -0.01 0.02 0.01 0.0 0.01
32.0 -0.0 0.0 -0.0 0.0 0.0 0.0 0.0 0.0 -0.01 -0.0 0.01 0.0 0.0 0.03 0.02 0.02 0.01 0.0 0.0 0.0 -0.0 0.0038095238095238095
33.0 -0.01 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 -0.01 -0.01 -0.01 -0.03 0.0 -0.0 -0.01 -0.04 0.06 0.0 -0.02 -0.03 0.02 -0.004285714285714286
34.0 -0.0 0.06 0.08 -0.01 0.09 -0.04 0.02 0.03 -0.01 0.0 0.05 -0.03 -0.02 0.09 0.01 0.02 0.04 -0.01 -0.04 -0.01 0.0 0.015238095238095236
35.0 0.0 0.01 0.0 0.0 0.01 0.0 0.0 -0.0 -0.0 0.0 0.01 0.0 -0.01 0.03 -0.02 -0.05 -0.0 -0.01 -0.0 -0.0 0.0 -0.0014285714285714288
