# time [indices] average
# -1.0 58344.0 0.0 0.0 0.05 0.01 0.09 0.01 0.03 0.06 -0.04 -0.02 -0.22 -0.1 -0.47 -0.05 -0.05 -0.24 -0.22 -0.35 -0.37 -0.09 -0.1 -0.12 0.04 2430.910416666666
1.0 0.03 0.01 0.0 0.01 0.01 0.02 0.0 0.01 0.06 0.01 -0.01 0.06 0.02 0.01 0.0 -0.0 -0.1 -0.04 -0.05 -0.16 -0.07 -0.11 -0.15 0.0 -0.018333333333333337
2.0 0.0 0.01 0.01 0.02 0.02 0.02 0.0 0.0 0.07 0.03 0.02 0.04 0.01 0.0 -0.0 -0.02 -0.14 -0.08 -0.07 -0.12 -0.05 -0.07 -0.1 0.0 -0.016666666666666666
3.0 0.0 0.01 0.0 0.03 0.01 0.07 0.0 0.0 0.04 0.01 -0.0 -0.03 -0.27 -0.11 -0.05 -0.03 -0.17 -0.08 -0.1 -0.22 -0.12 -0.09 -0.16 0.04 -0.050833333333333335
4.0 0.04 0.01 0.0 0.01 -0.02 0.0 0.0 -0.02 -0.06 -0.06 -0.05 -0.1 -0.11 -0.12 -0.06 -0.06 -0.14 -0.07 -0.09 -0.15 -0.03 -0.08 -0.07 0.0 -0.05125
5.0 0.0 -0.0 -0.0 -0.0 -0.02 -0.0 -0.01 0.0 -0.03 -0.02 -0.07 -0.02 -0.12 -0.09 -0.06 -0.04 -0.16 -0.08 -0.08 -0.2 -0.07 -0.11 -0.13 -0.0 -0.05458333333333334
6.0 -0.01 0.0 0.0 0.0 -0.0 -0.0 -0.01 -0.0 -0.0 0.0 0.0 -0.04 -0.03 -0.02 -0.04 -0.02 -0.39 -0.16 -0.19 -0.27 -0.41 -0.18 -0.51 0.0 -0.09500000000000001
7.0 0.0 -0.0 0.0 -0.01 -0.01 -0.04 -0.01 -0.06 -0.01 -0.01 -0.0 -0.06 -0.11 -0.13 -0.11 -0.05 -0.36 -0.2 -0.24 -0.28 -0.17 -0.21 -0.26 0.0 -0.09708333333333334
8.0 0.0 0.0 0.01 -0.0 -0.01 -0.02 -0.04 -0.0 -0.01 0.0 -0.02 -0.08 -0.11 -0.01 -0.1 -0.05 -0.47 -0.35 -0.18 -0.41 -0.3 -0.29 -0.41 0.0 -0.11874999999999998
9.0 0.0 -0.0 0.0 -0.0 -0.0 0.0 -0.06 0.0 -0.05 -0.0 -0.02 -0.17 -0.17 -0.13 -0.12 -0.05 -0.37 -0.71 -0.73 -0.91 -0.16 -0.2 -0.34 0.0 -0.1745833333333333
10.0 -0.0 0.02 0.01 0.01 0.01 0.02 -0.0 -0.0 0.01 -0.02 -0.04 -0.06 -0.17 -0.1 -0.17 -0.07 -0.43 -0.09 -0.11 -0.25 -0.1 -0.14 -0.13 0.0 -0.075
11.0 0.01 0.0 0.01 0.01 0.0 0.02 -0.05 -0.0 -0.07 -0.08 -0.04 -0.13 -0.21 -0.1 -0.13 -0.11 -0.38 -0.51 -0.62 -0.87 -0.2 -0.2 -0.26 0.0 -0.16291666666666668
12.0 0.0 0.01 -0.0 0.01 -0.01 0.01 -0.01 -0.01 0.04 0.0 -0.01 0.0 -0.1 -0.09 -0.04 -0.09 -0.18 -0.06 -0.06 -0.1 -0.06 -0.11 -0.13 0.0 -0.041249999999999995
13.0 -0.0 -0.0 -0.0 -0.01 -0.01 -0.02 -0.01 -0.04 -0.02 -0.04 -0.03 0.03 -0.1 -0.08 -0.06 -0.05 -0.16 -0.04 -0.08 -0.08 -0.06 -0.09 -0.13 -0.01 -0.04541666666666666
14.0 -0.01 -0.0 0.0 -0.0 -0.01 -0.01 -0.01 0.0 -0.02 -0.01 -0.11 -0.28 -0.07 -0.31 -0.26 -0.32 -0.27 -0.1 -0.12 -0.1 -0.14 -0.17 -0.15 -0.0 -0.10291666666666666
