# time [indices] average
# -1.0 58658.0 0.01 0.0 0.1 0.15 0.22 0.09 0.24 0.42 0.07 0.54 0.28 0.56 0.29 0.43 0.27 0.33 0.16 0.2 3087.4926315789476
1.0 0.24 0.03 0.01 0.03 0.03 0.05 0.04 0.0 0.06 0.0 0.03 -0.03 0.01 -0.0 0.21 0.14 0.09 0.09 0.0 0.054210526315789466
2.0 0.01 0.01 0.0 0.04 0.01 0.04 0.0 0.01 0.17 0.05 0.25 0.17 0.1 0.1 0.23 0.23 0.16 0.17 0.02 0.09315789473684209
3.0 0.02 0.02 0.0 0.05 0.04 0.01 0.0 0.0 0.11 0.09 0.09 0.0 0.07 0.01 0.17 0.1 0.12 0.0 0.02 0.04842105263157895
4.0 0.01 0.02 0.0 0.03 0.03 0.01 0.0 0.0 0.04 0.01 0.0 0.0 0.02 0.0 0.11 0.08 0.05 0.06 0.05 0.02736842105263158
5.0 0.05 0.01 0.0 0.07 0.05 0.03 0.0 0.02 0.05 0.03 0.01 0.0 0.01 0.0 0.19 0.13 0.06 0.12 0.05 0.04631578947368421
6.0 0.03 0.05 0.01 0.11 0.06 0.11 0.09 0.02 0.21 0.01 0.26 0.09 0.12 0.22 0.09 0.01 0.08 0.02 0.02 0.08473684210526317
7.0 0.02 0.01 0.0 0.03 0.02 0.01 0.0 0.03 0.16 0.04 0.27 0.23 0.01 0.1 0.4 0.18 0.3 0.3 0.01 0.11157894736842104
8.0 -0.01 0.01 0.0 0.02 0.0 0.0 0.0 0.0 0.09 0.03 0.09 0.08 0.01 0.06 0.17 0.07 0.12 0.08 0.0 0.0431578947368421
9.0 0.0 0.03 0.02 0.09 0.11 0.13 0.07 0.01 0.16 0.11 0.19 0.04 0.03 0.16 0.04 0.03 0.02 0.0 0.09 0.07000000000000002
10.0 0.04 0.02 0.01 0.06 0.08 0.06 0.03 0.0 0.13 0.06 0.42 0.21 0.33 0.13 0.04 0.0 0.0 0.03 0.05 0.08947368421052633
11.0 0.1 0.02 0.0 0.16 0.12 0.06 0.0 0.05 0.06 0.04 0.03 0.06 0.0 0.01 0.36 0.09 0.17 0.22 0.16 0.08999999999999998
12.0 0.04 0.01 0.0 0.04 0.02 0.04 0.0 0.03 0.19 0.08 0.22 0.09 0.07 0.15 0.65 0.32 0.29 0.33 0.01 0.13578947368421052
13.0 0.02 0.03 0.02 0.1 0.05 0.15 0.03 0.09 0.22 0.05 0.25 0.16 0.02 0.11 1.14 0.3 0.55 0.16 0.11 0.18736842105263157
14.0 0.12 0.01 0.0 0.12 0.07 0.13 0.0 0.12 0.32 0.05 0.3 0.03 0.24 0.24 0.47 0.2 0.34 0.27 0.07 0.16315789473684209
15.0 0.08 0.01 0.0 0.04 0.04 0.06 0.01 0.04 0.19 0.04 0.29 0.35 0.12 0.21 0.3 0.11 0.09 0.44 0.05 0.13
16.0 0.02 0.01 0.0 0.07 0.07 0.03 0.0 0.03 0.19 0.09 0.37 0.11 0.25 0.14 0.35 0.18 0.5 0.12 0.05 0.13578947368421054
17.0 0.04 0.01 0.0 0.11 0.08 0.12 0.01 0.13 0.22 0.02 0.22 0.26 0.24 0.06 0.31 0.28 0.13 0.28 0.11 0.13842105263157892
18.0 0.13 0.02 0.0 0.12 0.07 0.13 0.0 0.17 0.31 0.29 0.27 0.28 0.1 0.07 0.51 0.32 0.05 0.27 0.11 0.1694736842105263
19.0 0.2 0.02 0.0 0.11 0.06 0.12 0.01 0.1 0.32 0.06 0.26 0.01 0.18 0.12 0.55 0.25 0.31 0.26 0.13 0.16157894736842107
20.0 0.15 0.01 0.0 0.08 0.05 0.04 0.0 0.03 0.12 0.0 0.15 0.09 0.01 0.11 0.26 0.24 0.21 0.12 0.02 0.08894736842105262
21.0 0.01 0.0 0.0 0.12 0.07 0.2 0.02 0.14 0.41 0.04 0.4 0.06 0.29 0.18 0.5 0.26 0.13 0.38 0.11 0.17473684210526316
22.0 0.15 0.02 0.0 0.09 0.07 0.08 0.0 0.06 0.19 0.07 0.19 0.24 0.05 0.09 0.59 0.27 0.59 0.32 0.12 0.16789473684210526
23.0 0.14 0.01 0.0 0.04 0.04 0.13 0.01 0.1 0.38 0.05 0.48 0.3 0.21 0.08 0.5 0.27 0.17 0.32 0.05 0.1726315789473684
24.0 0.06 0.0 0.0 0.08 0.04 0.08 0.0 0.14 0.18 0.02 0.28 0.27 0.26 0.12 0.42 0.2 0.25 0.38 0.13 0.1531578947368421
